"idCliente","nombre","apellido","email","especialidad","tipo","direccion","telefono"
"23","Martine","Rance","javierbartomioli@gmail.com","Odontologia General","1","Sarmientos 858","20.16.10.16"
"24","Maria","Larsson","javierbartomioli@gmail.com","Odontologia General","1","Jose Hernandez 1569","0695-34 67 21"
"25","Peter","Franken","javierbartomioli@gmail.com","Endodoncia","1","Berliner Platz 43","089-0877310"
"26","Carine","Schmitt","carineschmitt@gmail.com","Endodoncia","1","54, rue Royale","40.32.21.21"
"27","Paolo","Accorti","jbartom@hotmail.com","Odontologia General","1","Via Monte Bianco 34","011-4988260"
"28","Lino","Rodriguez","jbartom@hotmail.com","Odontologia General","1","Jardim das rosas n. 32","(1) 354-2534"
"29","Eduardo","Saavedra","jbartom@hotmail.com","Endodoncia","1","Miguel de Cervantes Saavedrea 1779","(93) 203 4560"
"30","Jose","Pedro","jbartom@hotmail.com","Odontologia General","1","C/ Romero, 33","(95) 555 82 82"
"31","Andres","Fonseca","jbartom@hotmail.com","Odontologia General","1","Av. Brasil, 442","(11) 555-9482"
"32","Howard","Snyder","jbartom@hotmail.com","Endodoncia","1","2732 Baker Blvd.","(503) 555-7555"
"33","Manuel","Pereira","jbartom@hotmail.com","Odontologia General","1","Isaac Asimov 1987","(2) 283-2951"
"34","Mario","Pontes","jbartom@hotmail.com","Protesista","1","George Orwell 1984","(21) 555-0091"
"35","Carlos","Hernandez","jbartom@hotmail.com","Odontologia General","1","Carrera 22 con Ave. Carlos Soublette #8-35","(5) 555-1340"
"36","Yoshi","Latimer","jbartom@hotmail.com","Odontologia General","1","City Center Plaza 516 Main St.","(503) 555-6874"
"37","Patricia","McKenna","jbartom@hotmail.com","Odontologia General","1","8 Johnstown Road","2967 542"
"38","Helen","Bennett","jbartom@hotmail.com","Endodoncia","1","Garden House Crowther Way","(198) 555-8888"
"39","Philip","Cramer","jbartom@hotmail.com","Odontologia General","1","Maubelstr. 90","0555-09876"
"40","Daniel","Tonini","jbartom@hotmail.com","Odontologia General","1","67, avenue de l'Europe","30.59.84.10"
"41","Annette","Roulet","jbartom@hotmail.com","Odontologia General","1","1 rue Alsace-Lorraine","61.77.61.10"
"42","Yoshi","Tannamuri","jbartom@hotmail.com","Distribuidor","1","1900 Oak St.","(604) 555-3392"
"43","John","Steel","jbartom@hotmail.com","Endodoncia","1","12 Orchestra Terrace","(509) 555-7969"
"44","Renate","Messner","jbartom@hotmail.com","Ortodoncia","1","Magazinweg 7","069-0245984"
"45","Jaime","Yorres","jbartom@hotmail.com","Odontologia General","1","87 Polk St. Suite 5","(415) 555-5938"
"46","Carlos","Gonzales","jbartom@hotmail.com","Protesista","1","Simon Bolivar 794","(9) 331-6954"
"47","Felipe","Izquierdo","jbartom@hotmail.com","Odontologia General","1","Ave. 5 de Mayo Porlamar","(8) 34-56-12"
"48","Fran","Wilson","jbartom@hotmail.com","Ortodoncia","1","89 Chiaroscuro Rd.","(503) 555-9573"
"49","Giovanni","Rovelli","jbartom@hotmail.com","Endodoncia","1","Via Ludovico il Moro 22","035-640230"
"50","Catherine","Dewey","jbartom@hotmail.com","Ortodoncia","1","Rue Joseph-Bens 532","(02) 201 24 67"
"51","Jean","Dobua","rnaredo_4@hotmail.com","Distribuidor","1","43 rue St. Laurent","(514) 555-8054"
"52","Alexander","Feuer","rnaredo_4@hotmail.com","Distribuidor","1","Heerstr. 22","0342-023176"
"53","Simon","Crowther","rnaredo_4@hotmail.com","Ortodoncia","1","South House 300 Queensbridge","(171) 555-7733"
"54","Yvonne","Moncada","rnaredo_4@hotmail.com","Ortodoncia","1","Ing. Gustavo Moncada 8585 Piso 20-A","(1) 135-5333"
"55","Rene","Phillips","rnaredo_4@hotmail.com","Ortodoncia","1","2743 Bering St.","(907) 555-7584"
"56","Henriette","Pfalzheim","rnaredo_4@hotmail.com","Odontologia General","1","Mehrheimerstr. 369","0221-0644327"
"57","Marie","Bertrand","rnaredo_4@hotmail.com","Odontologia General","1","265, boulevard Charonne","(1) 42.34.22.66"
"58","Guillermo","Fernandez","rnaredo_4@hotmail.com","Ortodoncia","1","Calle Dr. Jorge Cash 321","(5) 552-3745"
"59","Georg","Pipps","rnaredo_4@hotmail.com","Ortodoncia","1","Geislweg 14","6562-9722"
"60","Isabel","Suarez","rnaredo_4@hotmail.com","Ortodoncia","1","Jean Paul Sartre 679","(1) 356-5634"
"61","Bernardo","Batista","rnaredo_4@hotmail.com","Protesista","1","Rua da Panificadora, 12","(21) 555-4252"
"62","Lucia","Carvalho","rnaredo_4@hotmail.com","Distribuidor","1","Ken Follet 3975","(11) 555-1189"
"63","Horst","Kloss","rnaredo_4@hotmail.com","Protesista","1","Pablo Neruda 588","0372-035188"
"64","Sergio","Gutierrez","rnaredo_4@hotmail.com","Ortodoncia","1","Av. del Libertador 900","(1) 123-5555"
"65","Paula","Wilson","rnaredo_4@hotmail.com","Ortodoncia","1","2817 Milton Dr.","(505) 555-5939"
"66","Maurizio","Moroni","rnaredo_4@hotmail.com","Ortodoncia","1","Strada Provinciale 124","0522-556721"
"67","Janete","Limeira","rnaredo_4@hotmail.com","Ortodoncia","1","Av. Copacabana, 267","(21) 555-3412"
"68","Michael","Holz","rnaredo_4@hotmail.com","Ortodoncia","1","Grenzacherweg 237","0897-034214"
"69","Alejandra","Camino","rnaredo_4@hotmail.com","Protesista","1","Gran via 1","(91) 745 6200"
"70","Jonas","Bergulfsen","rnaredo_4@hotmail.com","Odontologia General","1","Erling Skakkes gate 78","07-98 92 35"
"71","Jose","Pavarotti","rnaredo_4@hotmail.com","Ortodoncia","1","187 Suffolk Ln.","(208) 555-8097"
"72","Hari","Kumar","rnaredo_4@hotmail.com","Ortodoncia","1","90 Wadhurst Rd.","(171) 555-1717"
"73","Jytte","Petersen","rnaredo_4@hotmail.com","Odontologia General","1","Wagner 7923","31 12 34 56"
"74","Dominique","Perrier","rnaredo_4@hotmail.com","Endodoncia","1","25, rue Lauriston","(1) 47.55.60.10"
"75","Art","Braunschweiger","rnaredo_4@hotmail.com","Ortodoncia","1","P.O. Box 555","(307) 555-4680"
"76","Pascale","Cartrain","sscproyecto@gmail.com","Protesista","1","Boulevard Tirou, 255","(071) 23 67 22 20"
"77","Liz","Nixon","sscproyecto@gmail.com","Endodoncia","1","89 Jefferson Way Suite 2","(503) 555-3612"
"78","Liu","Wong","sscproyecto@gmail.com","Distribuidor","1","55 Grizzly Peak Rd.","(406) 555-5834"
"79","Karin","Josephs","sscproyecto@gmail.com","Endodoncia","1","Luisenstr. 48","0251-031259"
"80","Miguel","Angel","sscproyecto@gmail.com","Odontologia General","1","Avda. Azteca 123","(5) 555-2933"
"81","Anabela","Dominguez","sscproyecto@gmail.com","Ortodoncia","1","Av. San Martin 1988","(11) 555-2167"
"82","Helvetius","Nagy","sscproyecto@gmail.com","Ortodoncia","1","722 DaVinci Blvd.","(206) 555-8257"
"83","Palle","Ibsen","sscproyecto@gmail.com","Ortodoncia","1","Smagsloget 45","86 21 32 43"
"84","Mary","Saveley","sscproyecto@gmail.com","Ortodoncia","1","2, rue du Commerce","78.32.54.86"
"85","Paul","Henriot","sscproyecto@gmail.com","Protesista","1","59 rue de l'Abbaye","26.47.15.10"
"86","Rita","Miller","sscproyecto@gmail.com","Ortodoncia","1","Adenauerallee 900","0711-020361"
"87","Pirkko","Koskitalo","sscproyecto@gmail.com","Protesista","1","Torikatu 38","981-443655"
"88","Paula","Parente","sscproyecto@gmail.com","Ortodoncia","1","Rua do Mercado, 12","(14) 555-8122"
"89","Karl","Jablonski","sscproyecto@gmail.com","Odontologia General","1","305 - 14th Ave. S. Suite 3B","(206) 555-4112"
"90","Matti","Karttunen","sscproyecto@gmail.com","Ortodoncia","1","Keskuskatu 45","90-224 8858"
"91","Zbyszek","Piestrzeniewicz","sscproyecto@gmail.com","Odontologia General","1","ul. Filtrowa 68","(26) 642-7012"
